"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A?","1","A","","","","",""
"C1,C2,C7,C10","4","4.7µF","","","","",""
"C3","1","22µF","","","","",""
"C4,C12,C14","3","10µF","","","","",""
"C5,C8","2","1µF","","","","",""
"C6,C9,C11,C13,C15","5","0.1µF","","","","",""
"H1,H2","2","A2541WR-2P","","","","",""
"J1","1","A2541WR-6P","","","","",""
"LED1","1","LED0805","","","","",""
"LED2","1","MHL3014UBTD","","","","",""
"Q1,Q2","2","MMBT3904Q","","","","",""
"R1,R4","2","1kΩ","","","","",""
"R2","1","2kΩ","","","","",""
"R3,R5","2","5.1kΩ","","","","",""
"R6","1","22kΩ","","","","",""
"R7","1","47kΩ","","","","",""
"R8,R9,R10,R12","4","10kΩ","","","","",""
"R11,R13","2","4.7kΩ","","","","",""
"R14","1","470Ω","","","","",""
"SW1,SW2","2","TS-1109S-C-E","","","","",""
"U1","1","MCP73831T-2ACI/OT","","","","",""
"U2","1","CP2102N-A02-GQFN24","","","","",""
"U3","1","AP2112K-3.3TRG1","","","","",""
"U4","1","LSM6DS3TR-C","","","","",""
"U5","1","ESP32-S3-MINI-1-N8","","","","",""
"USB1","1","USB4085-GF-A","","","","",""
